papel,tipo,empresa,setor,sub_setor,valor_de_mercado,valor_da_firma,ultimo_balanco,numero_de_acoes,ultima_cotacao,pl,p_vp,psr,div_yeld,p_ativo,p_cap_giro,p_ebit,p_ativo_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg_liq,liq_corr,roic,roe,liq_2_meses,patrim_liq,div_brut_patrim,cresc_rec_5a
CSRN3,ON,COSERN ON,Energia Elétrica,Energia Elétrica,2.907.680.000,4.348.680.000,30/09/2020,168.074.000,"17,30","7,41","2,22","0,897","0,95%","0,625","6,75","5,09","-1,28","7,61","6,45","17,64%","12,11%","1,68","14,26%","29,93%","6.167,02","1.311.000.000,00","1,41","12,48%"
BRGE7,PNC,CONSORCIO ALFA PNC,Financeiros,Bancos,397.688.000,-1.352.790.000,30/06/2020,73.646.000,"5,40","7,41","0,32","10,708","7,62%","0,051","0,84","-0,91","-0,61","3,11","3,12","-1.172,58%","227,65%","1,10","-7,21%","4,38%","0,00","1.224.080.000,00","0,00","4,52%"
BEES4,PN,BANESTES S/A PN,Financeiros,Bancos,1.702.770.000,-,30/06/2020,315.913.000,"5,39","7,42","1,08","0,000","4,21%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,49%","21.034,20","1.583.940.000,00","0,00","9,35%"
WHRL3,ON,WHIRLPOOL S.A. ON,Utilidades Domésticas,Eletrodomésticos,10.579.600.000,9.498.690.000,30/06/2020,1.502.790.000,"7,04","7,46","5,74","1,324","13,74%","1,858","12,27","24,03","24,72","21,57","16,09","5,51%","17,75%","1,25","19,62%","76,96%","50.219,90","1.841.660.000,00","0,11","-6,48%"
CSRN5,PNA,COSERN PNA,Energia Elétrica,Energia Elétrica,2.941.300.000,4.382.300.000,30/09/2020,168.074.000,"17,50","7,50","2,24","0,908","1,04%","0,633","6,82","5,15","-1,30","7,67","6,50","17,64%","12,11%","1,68","14,26%","29,93%","1.036,40","1.311.000.000,00","1,41","12,48%"
WHRL4,PN,WHIRLPOOL S.A. PN,Utilidades Domésticas,Eletrodomésticos,10.699.800.000,9.618.910.000,30/06/2020,1.502.790.000,"7,12","7,55","5,81","1,339","14,95%","1,879","12,40","24,30","25,00","21,84","16,29","5,51%","17,75%","1,25","19,62%","76,96%","244.036,00","1.841.660.000,00","0,11","-6,48%"
ROMI3,ON,ROMI ON,Máquinas e Equipamentos,Máqs. e Equips. Industriais,814.011.000,1.071.970.000,30/09/2020,62.858.000,"12,95","7,60","1,01","0,966","12,74%","0,499","2,14","12,80","7,16","16,85","10,82","7,55%","12,74%","1,68","4,68%","13,31%","5.988.990,00","805.029.000,00","0,56","7,74%"
DPPI4,PN,IPIRANGA DISTRIBUIDORA PN,"Petróleo, Gás e Biocombustíveis",Distribuição de Combustíveis,1.244.800.000,1.051.660.000,31/03/2008,32.000.000,"38,90","7,62","2,28","-0,665","0,00%","1,718","3,98","87,28","4,46","73,74","73,74","-0,76%","-5,04%","3,14","3,00%","29,97%","0,00","545.227.000,00","0,06","15,14%"
CCTU4,PN,COMPANHIA BRASILEIRA DE CARTUCHOS - CBC PN,,,76.274.900,113.994.000,30/06/2007,2.046.000,"37,28","7,65","0,92","0,307","0,00%","0,405","2,29","14,56","-28,32","21,77","21,77","2,10%","4,00%","1,48","2,96%","12,07%","0,00","82.550.000,00","0,48","12,54%"
BRSR5,PNA,BANRISUL S/A PNA,Financeiros,Bancos,8.175.390.000,-,30/06/2020,408.974.000,"19,99","7,67","0,99","0,000","3,66%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","12,98%","7.020,26","8.217.060.000,00","0,00","7,27%"
WIZS3,ON NM,WIZ S.A. ON NM,Previdência e Seguros,Corretoras de Seguros,1.487.140.000,1.365.580.000,30/06/2020,159.907.000,"9,30","7,72","5,48","2,181","7,19%","2,264","-51,31","3,86","-9,66","3,54","3,13","56,55%","29,05%","0,88","77,62%","71,01%","6.787.930,00","271.409.000,00","0,00","16,06%"
EQTL3,ON NM,EQUATORIAL ENERGIA S.A. ON NM,Energia Elétrica,Energia Elétrica,20.947.900.000,32.511.600.000,30/06/2020,1.010.510.000,"20,73","7,74","2,33","1,117","1,54%","0,517","4,24","3,91","-1,22","6,07","5,36","28,58%","16,20%","1,65","16,29%","30,13%","179.626.000,00","8.983.150.000,00","1,95","27,83%"
CSMG3,ON,COPASA MG ON,Água e Saneamento,Água e Saneamento,5.859.700.000,8.225.480.000,30/06/2020,126.751.000,"46,23","7,75","0,84","1,111","4,06%","0,494","6,19","4,58","-2,15","6,42","4,31","24,29%","14,33%","1,77","11,91%","10,85%","38.720.300,00","6.968.270.000,00","0,47","7,60%"
PRIO3,ON,PETRORIO ON,"Petróleo, Gás e Biocombustíveis",Exploração e/ou Refino e Distribuição,5.252.100.000,7.736.880.000,30/06/2020,144.686.000,"36,30","7,77","2,04","3,520","0,00%","0,789","-10,35","32,31","-1,96","47,60","8,58","10,89%","45,30%","0,73","2,63%","26,20%","118.540.000,00","2.580.170.000,00","1,10","51,07%"
TRPL3,ON N1,TRANSMISSÃO PAULISTA ON N1,Energia Elétrica,Energia Elétrica,17.387.900.000,19.635.300.000,30/06/2020,658.883.000,"26,39","7,83","1,34","4,417","5,03%","0,775","5,55","6,41","-4,19","7,24","7,19","68,88%","57,10%","2,71","13,29%","17,16%","63.979,90","12.947.300.000,00","0,32","14,59%"
BSLI4,ON,BRB ON,Financeiros,Bancos,3.630.500.000,-,30/06/2020,36.305.000,"100,00","7,93","1,95","0,000","3,42%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","24,62%","1.369,16","1.860.250.000,00","0,00","22,11%"
EALT4,PN,ELECTRO AÇO ALTONA S/A PN,Máquinas e Equipamentos,Máqs. e Equips. Construção e Agrícolas,118.575.000,191.480.000,30/06/2020,22.500.000,"5,27","7,96","0,70","0,454","1,14%","0,290","-67,14","4,89","-1,81","7,90","5,48","9,27%","5,70%","0,99","6,78%","8,83%","176.637,00","168.715.000,00","0,65","23,04%"
CRIV3,ON,ALFA FINANCEIRA ON,Financeiros,Soc. Crédito e Financiamento,562.069.000,-,30/06/2020,102.943.000,"5,46","8,03","0,58","0,000","0,64%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","7,22%","38.017,80","969.432.000,00","0,00","-3,02%"
ENBR3,ON,EDP ENERGIAS DO BRASIL S/A ON,Energia Elétrica,Energia Elétrica,10.971.800.000,16.859.200.000,30/06/2020,606.850.000,"18,08","8,06","1,14","0,720","3,23%","0,389","8,88","4,46","-1,11","6,86","5,43","16,13%","9,83%","1,20","10,59%","14,15%","62.480.900,00","9.623.190.000,00","0,95","13,09%"
ESTC11,UNT N2,YDUQS PART UNT N2,Diversos,Educacional,2.421.200.000,5.280.730.000,30/06/2020,309.089.000,"23,50","8,10","0,76","0,675","0,00%","0,261","2,43","4,13","-0,79","9,02","5,42","16,32%","8,33%","1,48","8,18%","9,34%","0,00","3.199.140.000,00","1,49","4,14%"
CMET4,PN,CAEMI PN,,,15.326.200.000,14.301.200.000,31/03/2006,3.919.750.000,"3,91","8,10","5,38","3,068","0,00%","3,136","9,47","5,72","27,20","5,34","5,34","53,63%","43,03%","2,64","81,40%","66,40%","0,00","2.847.970.000,00","0,18","30,18%"
RDTR3,ON NM,REDENTOR ON NM,Equipamentos Elétricos,Equipamentos Elétricos,683.430.000,675.351.000,30/09/2015,108.481.000,"6,30","8,11","1,37","0,000","0,00%","1,320","0,00","-1.919,75","0,00","-1.897,05","-219,41","0,00%","0,00%","0,00","0,00%","16,95%","0,00","497.092.000,00","0,00","0,00%"
ENAT3,ON,ENAUTA PART ON,"Petróleo, Gás e Biocombustíveis",Exploração e/ou Refino e Distribuição,2.830.840.000,1.465.810.000,30/06/2020,265.807.000,"10,65","8,12","0,97","2,256","10,73%","0,614","2,04","8,90","12,27","4,61","1,68","25,35%","27,79%","3,55","11,03%","11,98%","15.748.000,00","2.910.700.000,00","0,08","28,98%"
BRGE12,PNF,CONSORCIO ALFA PNF,Financeiros,Bancos,439.667.000,-1.310.820.000,30/06/2020,73.646.000,"5,97","8,20","0,36","11,838","0,00%","0,056","0,93","-1,01","-0,67","3,01","3,02","-1.172,58%","227,65%","1,10","-7,21%","4,38%","14.651,70","1.224.080.000,00","0,00","4,52%"
CEEB3,ON,COELBA ON,Energia Elétrica,Energia Elétrica,10.300.400.000,17.790.400.000,30/09/2020,262.096.000,"39,30","8,36","1,72","0,802","1,27%","0,492","19,81","4,73","-0,97","8,17","6,51","16,95%","9,60%","1,14","11,35%","20,58%","28.427,50","5.989.000.000,00","1,39","11,64%"
